feature,importance
p_last_away,12270.382755756378
p_last_home,10346.627605716387
p_last_draw,3345.827293674151
p_open_home,3250.7444092432656
market_entropy,2508.594319740931
p_open_away,2348.4155538082123
favorite_margin,1678.2668197552364
dispersion_home,1306.570963660876
adv_away_shots_avg,1279.9885540803273
dispersion_draw,1169.4691570599873
dispersion_away,1156.330851316452
adv_home_shots_avg,1126.9827715555828
adv_away_corners_avg,1016.748036980629
adv_home_shots_target_avg,1003.3405661980311
book_dispersion,973.5951403776804
adv_home_corners_avg,866.2535522778829
adv_away_shots_target_avg,794.684891541799
p_open_draw,744.596534649531
adv_home_yellows_avg,741.137246410052
adv_away_yellows_avg,725.9020609458288
away_form_goals_conceded,704.5428287982941
home_form_goals_conceded,698.6183865070343
home_form_points,639.16388352712
away_form_points,637.7193177938461
away_form_goals_scored,618.0395967960358
home_form_goals_scored,561.40429965655
away_last10_away_wins,469.049217859904
days_since_away_last_match,455.0008533000946
home_last10_home_wins,401.8044003248215
days_since_home_last_match,399.2985636790593
h2h_draws,358.1158736546834
h2h_home_wins,306.88867378234863
h2h_away_wins,274.09797716140747
num_books_last,96.31598281860352
prob_drift_home,0.0
prob_drift_draw,0.0
prob_drift_away,0.0
drift_magnitude,0.0
elo_diff,0.0
volatility_home,0.0
volatility_draw,0.0
volatility_away,0.0
num_snapshots,0.0
coverage_hours,0.0
home_elo,0.0
away_elo,0.0
