feature,importance
p_last_draw,3873.2524254214018
p_last_away,3742.50080591375
p_last_home,3304.418983584689
p_open_away,996.7135775133968
dispersion_home,698.5717228971422
p_open_draw,525.712732715928
p_open_home,498.7407407728024
days_since_away_last_match,339.60533637059854
away_form_goals_scored,267.34170407122
dispersion_draw,244.08412593007088
home_form_goals_scored,211.68373400080017
days_since_home_last_match,182.8472480109893
home_form_goals_conceded,127.65523009784519
schedule_congestion_home_7d,125.5763603356434
away_form_goals_conceded,101.51567681655288
market_entropy,91.52753374269233
schedule_congestion_away_7d,51.25782599626109
dispersion_away,25.472396725416182
away_elo,4.283000844717026
favorite_margin,3.2097953375428916
home_elo,0.1691746398806572
num_books_last,0.1344402015209198
book_dispersion,0.11146860122680664
prob_drift_home,0.0
prob_drift_away,0.0
prob_drift_draw,0.0
volatility_away,0.0
volatility_draw,0.0
volatility_home,0.0
drift_magnitude,0.0
home_form_points,0.0
elo_diff,0.0
coverage_hours,0.0
num_snapshots,0.0
h2h_home_wins,0.0
away_last10_away_wins,0.0
home_last10_home_wins,0.0
away_form_points,0.0
h2h_draws,0.0
h2h_away_wins,0.0
adv_home_shots_avg,0.0
adv_home_shots_target_avg,0.0
adv_away_shots_target_avg,0.0
adv_away_shots_avg,0.0
adv_home_yellows_avg,0.0
adv_home_corners_avg,0.0
adv_away_corners_avg,0.0
adv_away_yellows_avg,0.0
rest_days_away,0.0
rest_days_home,0.0
