bookmaker,league,era_bin,sample_size,logloss_closing,brier_closing,accuracy,coverage_rate,avg_overround,overround_std,total_matches_in_context
b365,D1,2003-2007,194,0.9789609329200492,0.5847897946114543,0.5309278350515464,1.0,1.1164408910001993,0.004622893449225973,194
iw,D1,2003-2007,194,0.9862532982672217,0.5892329026069861,0.5309278350515464,1.0,1.1358888388168096,0.0029063929565056267,194
lb,D1,2003-2007,194,0.9762452870536861,0.5832451705440295,0.5412371134020618,1.0,1.1240193927534312,0.0033245171358943595,194
wh,D1,2003-2007,194,0.978047260419228,0.5842945018878675,0.5360824742268041,1.0,1.1250630043941257,0.0024557499591749085,194
b365,D1,2008-2012,612,1.008784091948348,0.6035214925473192,0.5147058823529411,1.0,1.06474585540968,0.004910200289862216,612
bw,D1,2008-2012,612,1.008714960429537,0.60378518012453,0.511437908496732,1.0,1.0899257382576375,0.014123300519311188,612
iw,D1,2008-2012,612,1.009312664042363,0.6038373526802387,0.5130718954248366,1.0,1.0920107256867133,0.01523487139155896,612
lb,D1,2008-2012,612,1.0073174688259,0.603167215015237,0.5098039215686274,1.0,1.1201527076992468,0.01452262774609933,612
wh,D1,2008-2012,612,1.0073895551044374,0.6031651552881311,0.5098039215686274,1.0,1.108039935500148,0.020744061865075023,612
sj,D1,2008-2012,611,1.0104073376498175,0.6051438982864324,0.5073649754500819,0.9983660130718954,1.0658343927974872,0.009979480761904214,612
vc,D1,2008-2012,612,1.004631187975921,0.6014068276054158,0.5098039215686274,1.0,1.0934116189208785,0.013724104325430588,612
b365,D1,2013-2017,918,0.9726756314597224,0.5782447330261116,0.5326797385620915,1.0,1.0568767725760715,0.0078110045321695114,918
bw,D1,2013-2017,918,0.9727734575777126,0.5784996467616522,0.528322440087146,1.0,1.0654896203256936,0.008892624731111052,918
iw,D1,2013-2017,913,0.975412158141891,0.5799009873833837,0.5388828039430449,0.9945533769063181,1.0804591201016096,0.00233496037952138,918
lb,D1,2013-2017,918,0.9735994150443271,0.5783987370663944,0.5359477124183006,1.0,1.0628595900719067,0.009142565933425677,918
ps,D1,2013-2017,918,0.9728038929402516,0.5784698490774555,0.528322440087146,1.0,1.0201873892946138,0.0012729867308799254,918
wh,D1,2013-2017,918,0.9745837532103239,0.5791701147904306,0.5359477124183006,1.0,1.0625957076117238,0.004889592188471134,918
sj,D1,2013-2017,332,0.9566302248970272,0.5672084283881562,0.5240963855421686,0.3616557734204793,1.0794806079459245,0.009410525672357789,918
vc,D1,2013-2017,918,0.9723017301594092,0.5782370391247128,0.5294117647058824,1.0,1.0345789407561103,0.007829248920165604,918
b365,D1,2018-2022,306,0.9625018386506841,0.5711413551219606,0.5424836601307189,1.0,1.0531062305870713,0.005905296454448097,306
bw,D1,2018-2022,306,0.9644666129418922,0.5720764954311762,0.5359477124183006,1.0,1.0511431866448675,0.0043602713279277845,306
iw,D1,2018-2022,306,0.9654556668591144,0.5732440582737198,0.5294117647058824,1.0,1.0533493102813904,0.0025870992398309344,306
ps,D1,2018-2022,305,0.9665348002916545,0.573131886325329,0.5344262295081967,0.9967320261437909,1.0283226366009155,0.0032946371543401153,306
wh,D1,2018-2022,306,0.963751473868908,0.5716781978939067,0.5359477124183006,1.0,1.0554753662311855,0.006064179451123396,306
vc,D1,2018-2022,306,0.9637672105401467,0.5713496311214546,0.5326797385620915,1.0,1.0395136924726385,0.004532465431667475,306
b365,D1,2023-2024,306,0.9463586530469434,0.5597245205944041,0.5424836601307189,1.0,1.0539255858547087,0.0061283977128701135,306
bw,D1,2023-2024,297,0.9529171513255666,0.5636958676415451,0.531986531986532,0.9705882352941176,1.0568540261351713,0.005515109675956554,306
iw,D1,2023-2024,143,0.9165044034782852,0.5388497791428581,0.5594405594405595,0.4673202614379085,1.0496136905044262,0.003975111888078526,306
ps,D1,2023-2024,306,0.945479323979598,0.5592352401042805,0.5424836601307189,1.0,1.034406165335793,0.004820988229531869,306
wh,D1,2023-2024,306,0.9502996351217965,0.5619959932461184,0.5424836601307189,1.0,1.075724401932199,0.022354384480365967,306
vc,D1,2023-2024,306,0.9478836022547915,0.5605553395115672,0.545751633986928,1.0,1.0494962866139326,0.0033929945445378335,306
b365,E0,1998-2002,209,1.019115206596134,0.6091683051192065,0.47368421052631576,0.3548387096774194,1.1159879319332904,0.0022663794014893294,589
iw,E0,1998-2002,208,1.0219531418095271,0.6113657328120176,0.47115384615384615,0.3531409168081494,1.136086807790313,0.003102855421397122,589
lb,E0,1998-2002,209,1.019032736346139,0.6095137692350932,0.46411483253588515,0.3548387096774194,1.12362322406053,0.003455161579635366,589
wh,E0,1998-2002,208,1.0237113453054396,0.6122971737775885,0.46153846153846156,0.3531409168081494,1.12496694734766,0.0022911826232547114,589
b365,E0,2003-2007,750,0.9359607631617294,0.5542041273365379,0.572,1.0,1.0831714560053287,0.02036891719663801,750
bw,E0,2003-2007,579,0.9373956411227019,0.5551193625354403,0.5630397236614854,0.772,1.101083112397244,0.0023953268894653943,750
iw,E0,2003-2007,739,0.9429585731355813,0.5580668430168427,0.5764546684709067,0.9853333333333333,1.1233863883137132,0.011679017041445083,750
lb,E0,2003-2007,750,0.9379894829796819,0.5552399801408906,0.5746666666666667,1.0,1.1229496017096026,0.003772123244652283,750
wh,E0,2003-2007,643,0.9418761237528687,0.5572826238487966,0.567651632970451,0.8573333333333333,1.1249528211302682,0.002499612254473749,750
sj,E0,2003-2007,579,0.9402663551138426,0.557140821685303,0.5664939550949913,0.772,1.1004247910615852,0.003514347244974317,750
vc,E0,2003-2007,579,0.9337172512553413,0.5526871019144926,0.5734024179620034,0.772,1.0861827506195774,0.005437452696821906,750
b365,E0,2008-2012,181,0.9127493327164167,0.5411502094038807,0.5966850828729282,1.0,1.0566805157197707,0.00434054771551575,181
bw,E0,2008-2012,181,0.9164935881698281,0.5440082939905739,0.585635359116022,1.0,1.100463236343236,0.002239534614258568,181
iw,E0,2008-2012,181,0.9247041927175838,0.5489397454833457,0.580110497237569,1.0,1.1145262794893112,0.005857398657267084,181
lb,E0,2008-2012,181,0.9245799800436566,0.5489629759730447,0.5911602209944752,1.0,1.1213650701470281,0.009362274180083311,181
wh,E0,2008-2012,181,0.9221902914213578,0.5479864015210698,0.5911602209944752,1.0,1.1235950924369673,0.0048888684737891114,181
sj,E0,2008-2012,181,0.9176654620933868,0.5446896623108642,0.585635359116022,1.0,1.100649751510757,0.0030862747125331175,181
vc,E0,2008-2012,181,0.9116449380115313,0.5412815467454161,0.5966850828729282,1.0,1.0558998308292082,0.019768446515300044,181
b365,E0,2013-2017,380,0.9708414326491146,0.5743044590096702,0.5368421052631579,1.0,1.0266820986184175,0.008247110163408981,380
bw,E0,2013-2017,380,0.972977853944416,0.5757912202634757,0.531578947368421,1.0,1.057586825415446,0.014854877717379904,380
iw,E0,2013-2017,379,0.9770021331359676,0.5789460593550476,0.5224274406332454,0.9973684210526316,1.0804747551196667,0.0017309322141765109,380
lb,E0,2013-2017,380,0.9712713982129567,0.574845685352534,0.531578947368421,1.0,1.045738928196802,0.007952366352497648,380
ps,E0,2013-2017,380,0.9707357082784738,0.5741852037219263,0.531578947368421,1.0,1.0201631913563196,0.0012883083158156399,380
wh,E0,2013-2017,380,0.9740913680066764,0.5766021143023141,0.5289473684210526,1.0,1.062687040812475,0.005147076980192035,380
